"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fbxo7",4.7961322309322e-06,0.273536899621079,0.202,0.169,0.107764295096816
"Rab24",4.80929060428658e-06,-0.393132245806368,0.08,0.105,0.108059950587715
"Prkag2",4.84955323369456e-06,0.332910632406012,0.154,0.124,0.108964611607883
"Sec24d",4.86799220270222e-06,0.309501583235123,0.168,0.137,0.109378916802516
"AC154200.1",4.96109535804772e-06,0.3489827760962,0.103,0.078,0.111470851599974
"Lap3",4.96826683828685e-06,-0.41746975353267,0.11,0.138,0.111631987589467
"Gucy2f",5.04530226607447e-06,-0.276936141022996,0.201,0.235,0.113362896616427
"Btc",5.04784834422398e-06,-0.396453617589443,0.086,0.112,0.113420104446369
"A930007I19Rik",5.10752214699137e-06,0.33862454075267,0.104,0.079,0.114760915120749
"Bcl9l",5.17468839373275e-06,0.288044121186823,0.183,0.151,0.116270073518781
"Slc25a5",5.21009861751152e-06,-0.479586936726905,0.083,0.108,0.117065705836866
"Mpdu1",5.21544730147219e-06,-0.411005283890965,0.09,0.116,0.117185885416779
"Dera",5.31852488993717e-06,0.3786188307306,0.107,0.083,0.119501935751998
"Coro1c",5.32877743177497e-06,0.278334670153715,0.136,0.108,0.119732300114552
"Meis2",5.44666393427102e-06,0.407808065901927,0.154,0.125,0.122381091939135
"Ifnar2",5.49257209562145e-06,-0.347440155113499,0.177,0.208,0.123412602416518
"Rab33b",5.58040003232411e-06,-0.308966007298863,0.179,0.211,0.12538600832629
"Cul9",5.8807504829408e-06,0.291716303573926,0.172,0.141,0.132134582601197
"Lpcat2",5.90085195084637e-06,-0.334976189547443,0.164,0.196,0.132586242483567
"Smarcb1",5.92305777190812e-06,-0.324082466692872,0.177,0.209,0.133085185077004
"Atg5",5.94801903747122e-06,0.26465632201346,0.193,0.161,0.133646039752941
"Arpp19",6.07882149371069e-06,-0.320195318922617,0.166,0.198,0.136585040142186
"Efcab14",6.12461405126722e-06,-0.254782227815638,0.293,0.328,0.137613953117923
"Zdhhc14",6.21212505098474e-06,0.325650366824243,0.16,0.13,0.139580237770576
"Ap5m1",6.23348568649997e-06,0.275440845623122,0.164,0.134,0.140060189889968
"Cep44",6.23817883202985e-06,0.315433919032778,0.129,0.102,0.140165640176879
"Fam98b",6.29111112655309e-06,-0.27850349995285,0.173,0.206,0.141354975902521
"Emc2",6.30532650529838e-06,-0.253415625387883,0.267,0.302,0.141674381247549
"Edc3",6.46326686020143e-06,0.322368438967999,0.144,0.116,0.145223143081866
"Tm2d1",6.57066458293216e-06,-0.312258254547826,0.216,0.249,0.147636262513903
"Col5a1",6.64676310111052e-06,0.37589357346494,0.143,0.116,0.149346120118852
"Secisbp2l",6.64994920620187e-06,-0.27120994863304,0.351,0.38,0.14941770871415
"Ddx58",6.66081078401345e-06,-0.380337522979657,0.295,0.322,0.149661757505998
"Mrpl21",6.69614635934053e-06,-0.42854975841457,0.082,0.107,0.150455712548022
"Rnf114",6.74615857882815e-06,-0.402722590614689,0.137,0.166,0.15157943710769
"Ddah2",6.7569007195365e-06,-0.327072357419537,0.142,0.172,0.151820802267266
"Mark1",6.82201920623347e-06,0.296507486281863,0.174,0.144,0.15328394954486
"Idnk",6.84819662576599e-06,-0.386242426227598,0.148,0.178,0.153872129984336
"Dock3",6.86977895952537e-06,0.273746686457488,0.219,0.186,0.154357063441575
"Slc9a3r1",7.15927763473201e-06,-0.354522619219135,0.098,0.125,0.160861809174794
"2300009A05Rik",7.26529637215778e-06,-0.361401828988083,0.119,0.148,0.163243944186013
"Hif3a",7.31474801661143e-06,-0.287106889980841,0.168,0.2,0.164355073185242
"Smc3",7.48511444594537e-06,-0.279045933996081,0.326,0.356,0.168183036485946
"2900052N01Rik",7.54619129188317e-06,0.365017949554323,0.167,0.138,0.169555372137323
"Optn",7.70460599958089e-06,0.289780512467719,0.145,0.117,0.173114792204583
"Hmgxb3",7.7202497376237e-06,0.299597519716354,0.157,0.127,0.173466291354667
"Phrf1",7.72263537205594e-06,0.259836931495192,0.162,0.132,0.173519894174725
"Wbp11",7.74197166461328e-06,-0.331286109581002,0.178,0.209,0.173954361332196
"Ablim3",7.77421515069543e-06,0.371522204352817,0.124,0.099,0.174678840220976
"Cpt1c",7.91910865004101e-06,-0.330218414584913,0.174,0.206,0.177934452257771
"3110021N24Rik",8.06020542324338e-06,-0.491385049163709,0.077,0.101,0.181104755654856
"Dhcr24",8.4275604954877e-06,-0.375591195427648,0.079,0.103,0.189358856773113
"Tmem167b",8.46434429705258e-06,-0.421163978227773,0.078,0.102,0.190185352010475
"Dusp11",8.70583737168724e-06,-0.266346126878859,0.295,0.327,0.195611459904441
"Nfasc",8.87194233518955e-06,0.298094815138848,0.259,0.226,0.199343672329374
"Brinp3",9.09591476103173e-06,0.300352230037265,0.258,0.226,0.204376108765622
"Psma5",9.18352878292902e-06,-0.370127749821394,0.133,0.162,0.206344708223632
"Arl8a",9.25690545532333e-06,-0.409552514085385,0.119,0.146,0.20799340867566
